1分钟前来自iPhon,e客户端,好晕不晕,#mbti#在ESFJ和ESTJ横跳，反正逃不过ESJ了，行，像个母亲一样打心里鄙视蠢人,"['[太开心]', '[太开心]']"
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
04月01日14:44,,MbtiTT,#mbti#infj,[]
30秒前来自iPhon,e客户端,春日部的告别_,#mbti#本人enfp，哪里有infj的人啊,['[泪]']
35秒前来自iPhon,e12Pro,0-delusion,#mbti#,"['[允悲]', '[允悲]']"
42秒前来自iPhon,e12,蓝泡旺仔,想念汪汪和那个不愿测试mbti的女人,['[怒]']
2分钟前转赞人数超过1,00,OMG种草,你是属于性格好的女生吗？#mbti#,[]
1分钟前来自nova4,e3200W立体美颜,今天见到易烊千玺没有,怀疑自己是INFP这也太真实了吧#mbti#,[]
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
04月01日14:44,,MbtiTT,#mbti#infj,[]
8秒前来自iPhone,XS,申鹤今天复刻了吗,#mbti#这是什么？这是我吗？可能是我吧,[]
23秒前来自HUAWE,IP30Pro,拜托拜托来点好运,#isfj#MBTI各位大冤种朋友们，想问问你们是哪个职业。正好找工作，也算精准定位了,['[并不简单]']
1分钟前来自iPhon,e客户端,春日部的告别_,#mbti#本人enfp，哪里有infj的人啊,['[泪]']
1分钟前来自iPhon,e12Pro,0-delusion,#mbti#,"['[允悲]', '[允悲]']"
1分钟前来自iPhon,e12,蓝泡旺仔,想念汪汪和那个不愿测试mbti的女人,['[怒]']
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
04月01日14:44,,MbtiTT,#mbti#infj,[]
19秒前来自iPhon,eXR,Joyce璇爷,#mbti性格造型图鉴#@微博时尚短款渐变针织衫搭配直筒牛仔裤俏皮随性，搭上自在的一字凉鞋，是春天的色系没错啦～大概十年前求职时候测了一次，已经忘了结果，再测是ISTJ，实际又传统的人？那这样的春游穿搭合适么哈哈哈，好像又不太像~只有马尾辫真的是从小到大都很喜欢！性格展开c,[]
30秒前来自iPhon,eXS,申鹤今天复刻了吗,#mbti#这是什么？这是我吗？可能是我吧,[]
45秒前来自HUAWE,IP30Pro,拜托拜托来点好运,#isfj#MBTI各位大冤种朋友们，想问问你们是哪个职业。正好找工作，也算精准定位了,['[并不简单]']
1分钟前来自iPhon,e客户端,春日部的告别_,#mbti#本人enfp，哪里有infj的人啊,['[泪]']
1分钟前来自iPhon,e12Pro,0-delusion,#mbti#,"['[允悲]', '[允悲]']"
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
04月01日14:44,,MbtiTT,#mbti#infj,[]
48秒前来自iPhon,eXR,Joyce璇爷,#mbti性格造型图鉴#@微博时尚短款渐变针织衫搭配直筒牛仔裤俏皮随性，搭上自在的一字凉鞋，是春天的色系没错啦～大概十年前求职时候测了一次，已经忘了结果，再测是ISTJ，实际又传统的人？那这样的春游穿搭合适么哈哈哈，好像又不太像~只有马尾辫真的是从小到大都很喜欢！性格展开c,[]
59秒前来自iPhon,eXS,申鹤今天复刻了吗,#mbti#这是什么？这是我吗？可能是我吧,[]
1分钟前来自HUAWE,IP30Pro,拜托拜托来点好运,#isfj#MBTI各位大冤种朋友们，想问问你们是哪个职业。正好找工作，也算精准定位了,['[并不简单]']
1分钟前来自iPhon,e客户端,春日部的告别_,#mbti#本人enfp，哪里有infj的人啊,['[泪]']
2分钟前来自iPhon,e12Pro,0-delusion,#mbti#,"['[允悲]', '[允悲]']"
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
04月01日14:59,来自小萝卜魔法Android,一个萌萌哒萝卜,#mbti#本enfp觉得非常准的一些memes,[]
11秒前来自GOT7超,话,HouZi小后,GOT7和谦谦宝贝一样的MBTI（狂喜）but我却是个废柴,['[允悲]']
12秒前来自iPhon,e客户端,许先森的羞媳,听说这是大怨种人格#mbti#,['[doge]']
34秒前来自vivoS,9极夜柔光自拍,闲大蚊子,#谷爱凌的MBTI是INTJ#以前怎么做都是ENTP，刚花30块钱又做了一次这次ENTJ了这些年我把P变成了J，学会了要有秩序感。,['[傻眼]']
1分钟前来自荣耀20P,RO,叶茼蒿今天吃荸荠了吗,虽迟但到的mbti我竟然是ENFP这些表情包真的是我本人了,['[喵喵]']
1分钟前来自极禹顺炸的,Android,x豪爱炸宝豆x,#mbti测试链接#ESFP完全符合我,['[抱一抱]']
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
04月01日14:59,来自小萝卜魔法Android,一个萌萌哒萝卜,#mbti#本enfp觉得非常准的一些memes,[]
24秒前来自GOT7超,话,HouZi小后,GOT7和谦谦宝贝一样的MBTI（狂喜）but我却是个废柴,['[允悲]']
25秒前来自iPhon,e客户端,许先森的羞媳,听说这是大怨种人格#mbti#,['[doge]']
47秒前来自vivoS,9极夜柔光自拍,闲大蚊子,#谷爱凌的MBTI是INTJ#以前怎么做都是ENTP，刚花30块钱又做了一次这次ENTJ了这些年我把P变成了J，学会了要有秩序感。,['[傻眼]']
1分钟前来自荣耀20P,RO,叶茼蒿今天吃荸荠了吗,虽迟但到的mbti我竟然是ENFP这些表情包真的是我本人了,['[喵喵]']
1分钟前来自极禹顺炸的,Android,x豪爱炸宝豆x,#mbti测试链接#ESFP完全符合我,['[抱一抱]']
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
04月01日14:59,来自小萝卜魔法Android,一个萌萌哒萝卜,#mbti#本enfp觉得非常准的一些memes,[]
3秒前来自微博国际版,,-浠有海獭-,我问顺姐是MBTI哪种人格姐跟我说她是承重墙,[]
12秒前来自MBTI超,话,淞沐沭湘榕,MBTI#mbti#isfj请和本快乐狗狗enfp交朋友吧！2合肥,[]
40秒前来自GOT7超,话,HouZi小后,GOT7和谦谦宝贝一样的MBTI（狂喜）but我却是个废柴,['[允悲]']
41秒前来自iPhon,e客户端,许先森的羞媳,听说这是大怨种人格#mbti#,['[doge]']
1分钟前来自vivoS,9极夜柔光自拍,闲大蚊子,#谷爱凌的MBTI是INTJ#以前怎么做都是ENTP，刚花30块钱又做了一次这次ENTJ了这些年我把P变成了J，学会了要有秩序感。,['[傻眼]']
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
04月01日10:31,来自微博视频号,头号青年,【年轻人为什么选择把这四个字母刻烟吸肺】#MBTI鄙视链太复杂了#新浪新闻《#头号编辑室#》栏目第4期：最近一段时间里，首页的MBTI含量过高了。曾经喜欢星座玄学的，如今爱上了测MBTI；以前热衷追星做数据的，现在爱上了测爱豆的MBTI……为什么当今年轻人如此热衷于把MBTI写进社交名片？展开c,[]
11秒前来自MBTI超,话,楚糕,MBTIistj来抱走一波istj宝子们刚刚开通的超话,[]
19秒前来自iPhon,e,沐宸汐落,#mbti#INFJ,[]
34秒前来自Andro,id,兔兔秃了__,#mbti#MD老早就测出来过是INTJ属实是个疯子,"['[可爱]', '[good]']"
2分钟前转赞人数超过1,0来自iPhone12,Teq_WS,突然刮起的mbti这阵风有点莫名其妙，已经到了和星座一样玄学的程度，用来被解释和预测人所有的喜恶处事和思维习惯了。但是人这种在文化、家庭、亲密关系、工作、文学音乐影视等等浸淫下，组建起来的复杂精巧的生灵，怎么可能被区区四个维度十六个类型划定，这真是对人性和情感的大不敬和器物化，混合展开c,[]
1分钟前来自Harmo,nyOS設備,五四有点甜,我的记忆力就像……刚把mbti结果记得很清过一会：我是I啥来着哦哦哦再过一会：啥j来着,['[疑问]']
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,,美滋滋bot,#mbti#16人格,[]
13分钟前,,我和基友的日常,最好的朋友无需一模一样，而是相互依靠，相互救赎！#和闺蜜进行了mbti测试##微博喜剧现场#L我和基友的日常的微博视频,[]
5秒前,,无糖南秋,还以为mbti是什么新缩写,[]
5秒转赞人数超过40,,怎么可以次兔兔QAQ,#mbti#MBTI不同人格的穿衣风格，刻板印象娱乐为主，请勿对号入座。#兔牌表情包#,[]
6秒前,,芒果吃恐龙,好不容易做了mbti的厕所，结果让我花19，拜拜,"['[怒]', '[怒]']"
17秒前,,菌味煲仔饭,好恐怖...mbti和infp怎么一起上热搜了啊呃,['[跪了]']
26秒前,,椰子奶冻五分糖,翟潇闻你测过mbti没,[]
发表时间,信息,用户名,内容,用到表情
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
04月01日10:31,来自微博视频号,头号青年,【年轻人为什么选择把这四个字母刻烟吸肺】#MBTI鄙视链太复杂了#新浪新闻《#头号编辑室#》栏目第4期：最近一段时间里，首页的MBTI含量过高了。曾经喜欢星座玄学的，如今爱上了测MBTI；以前热衷追星做数据的，现在爱上了测爱豆的MBTI……为什么当今年轻人如此热衷于把MBTI写进社交名片？展开c,[]
31秒前来自HUAWE,IMate40,不好意思我确实最美,测mbti了吗,[]
1分钟前来自不会生气的,HarmonyOS设备,酒酿金鱼-,想问下为啥最近mbti测试起来了又。。,[]
2分钟前转赞人数超过1,800来自iPhone11,MBTImemes,#mbtimeme##infp#,[]
2分钟前来自微博国际版,,美沢酱,存档mbtiisfj-a,[]
4分钟前转赞人数超过1,00来自iPhone13Pro,我和基友的日常,最好的朋友无需一模一样，而是相互依靠，相互救赎！#和闺蜜进行了mbti测试##微博喜剧现场#L我和基友的日常的微博视频,[]
发表时间,信息,用户名,内容,用到表情
发表时间,信息,用户名,内容,用到表情
04月01日22:32,来自MBTI超话,MBTI十六人格,MBTI#mbti#一分钟测试MBTI,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
今天13:42来自微博,视频号,酒酿熊子,我真的会笑。。刚看完李承铉发在的#mbti#测试里面有个问题是：如果有人没有迅速回你的消息你会担心自己是不是刚刚说错了话”铉哥（斩钉截铁）：不会。（突然意识到什么）：除非是戚哥…！还有个问题：你希望自己的小孩成为善良的人而不是聪明的人。铉哥：我希望她是善良的。（思考）等一下，展开c,[]
04月01日14:44,,MbtiTT,#mbti#infj,[]
2分钟前来自HUAWE,IP40Pro5G,怦然鑫动-666,#mbti#2西安,"['[并不简单]', '[并不简单]', '[并不简单]']"
3分钟前转赞人数超过1,000来自iPhone11,MBTImemes,#mbtimeme##infp#,[]
6分钟前来自荣耀V40,前所未感,cy-须臾,#mbti#终是成了ISTJ,[]
11分钟前转赞人数超过,40来自iPhoneXR,怎么可以次兔兔QAQ,#mbti#MBTI不同人格的穿衣风格，刻板印象娱乐为主，请勿对号入座。#兔牌表情包#,[]
11分钟前来自Harm,onyOS设备,叫我富人,#mbti#之前测过也是INFJ,[]
12分钟前来自Andr,oid,兔兔秃了__,#mbti#MD老早就测出来过是INTJ属实是个疯子,"['[可爱]', '[good]']"
14分钟前来自iPho,ne,沐宸汐落,#mbti#INFJ,[]
16分钟前来自iPho,ne客户端,Layla324,#mbti#新星座学来了还是准的ESFJ报道,[]
19分钟前来自iPho,ne7,Molly要开心吖,#mbti#【人们常说，高处不胜寒。作为人数最少且战略能力最强的人格类型之一，“建筑师”们对此深有体会。他们仅占人口的2%，女性则更为稀少，只有0.8%。这让他们很难找到志同道合能够与其过人的智慧和审慎的思考方式比肩的同类。建筑师人格类型的人想象力丰富却很果断，雄心壮志但注重隐私，充满好展开c,[]
20分钟前转赞人数超过,100来自iPhone11,MBTImemes,#mbtimeme##intj##entp##intp##entj#,[]
21分钟前来自iPho,ne客户端,我是詹詹阿,ENFP-T+射手座摆烂#mbti#,[]
22分钟前来自小米10,Pro,·白曦ya,#mbti#好家伙,[]
22分钟前来自iPho,ne客户端,Yu是懒的代言人,#mbti#内向是已知的，100%内向是连本人也被震惊到的程度,['[苦涩]']
23分钟前来自OPPO,Reno55G,林鹿LT,#mbti#我刚刚测试MBTI，填了90多道题，最后让我花29块钱，我果断拒绝了，白填了，浪费我十分钟,[]
23分钟前,,四颗虎牙鸭,都几年了！我为什么还是花福蝶！#mbti#,[]
24分钟前来自AI实力,派vivoZ1,我不要做小哭bao,#mbti##istj#额,[]
25分钟前来自iPho,ne客户端,Yunana_Nan,是我本人没错了#mbti##enfp#,[]
27分钟前来自iPho,ne客户端,王burry,#mbti#Zzz,[]
28分钟前转赞人数超过,200来自iPhone11,MBTImemes,#mbtimeme##intp##isfj#,[]
28分钟前来自OPPO,智能手机,濯三三尘,#mbti#求助求助巨蟹的enfp怎么和射手的infp相处！！！我真的求求,[]
29分钟前来自iPho,ne13ProMax,椰我不是罗-,#mbti#看描述太我了esfp老drama,[]
29分钟前来自MBTI,超话,淞沐沭湘榕,MBTI#mbti#isfj请和本快乐狗狗enfp交朋友吧！2合肥,[]
30分钟前来自iPho,ne客户端,许先森的羞媳,听说这是大怨种人格#mbti#,['[doge]']
31分钟前转赞人数超过,6900来自小萝卜魔法Android,一个萌萌哒萝卜,#mbti#本enfp觉得非常准的一些memes,[]
32分钟前转赞人数超过,300来自iPhone11,MBTImemes,#mbtimeme##intp#,[]
32分钟前来自infp,超话,真的是03661,哦莫哦莫哦莫#infp#infp#mbti#,[]
33分钟前转赞人数超过,700来自iPhone客户端,Auevoir,我会保存一些本#isfp#真实写照#mbtimeme#,[]
33分钟前来自iPho,neXS,申鹤今天复刻了吗,#mbti#这是什么？这是我吗？可能是我吧,[]
34分钟前来自iPho,ne客户端,春日部的告别_,#mbti#本人enfp，哪里有infj的人啊,['[泪]']
36分钟前转赞人数超过,100,OMG种草,你是属于性格好的女生吗？#mbti#,[]
36分钟前来自nova,4e3200W立体美颜,今天见到易烊千玺没有,怀疑自己是INFP这也太真实了吧#mbti#,[]
36分钟前来自iPho,ne客户端,好晕不晕,#mbti#在ESFJ和ESTJ横跳，反正逃不过ESJ了，行，像个母亲一样打心里鄙视蠢人,"['[太开心]', '[太开心]']"
39分钟前转赞人数超过,100,emma,#mbti#大家都是什么！我是,[]
40分钟前转赞人数超过,400来自iPhone11,MBTImemes,#mbtimeme##infj#,[]
41分钟前转赞人数超过,10来自MBTI超话,超话社区精选,好奇大家的#mbti#测试结果都是什么？我先来说，保护型的守卫者你呢？快在评论区聊聊找到自己的组织吧～（图源：网络）,['[抱一抱]']
40分钟前来自iQOO,Pro5G性能旗舰,_阿轩小朋友,有人可以讲解下嘛#mbti##enfp是人间天使#,['[doge]']
41分钟前转赞人数超过,20,云云Erin_Pistachio,isfp-a这些图有被准到…持续摆烂#mbti#,[]
40分钟前来自iPho,ne客户端,Daisydaisyzzz,#mbti#我的f仍旧在线,[]
43分钟前来自HUAW,EIMate20X,徐有容yyds,MBTI真的绝#mbti#,[]
45分钟前转赞人数超过,7万,cpdd,#mbti#十六人格性格示意图,[]
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
今天13:42来自微博,视频号,酒酿熊子,我真的会笑。。刚看完李承铉发在的#mbti#测试里面有个问题是：如果有人没有迅速回你的消息你会担心自己是不是刚刚说错了话”铉哥（斩钉截铁）：不会。（突然意识到什么）：除非是戚哥…！还有个问题：你希望自己的小孩成为善良的人而不是聪明的人。铉哥：我希望她是善良的。（思考）等一下，展开c,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
20秒前来自小米10P,ro,竜昱,mbti是intp八维是enfp九型是4w5再也不测了，问就是imsb,[]
38秒前来自iPhon,e客户端,辽机不吃肥肉,测过mbti后的一周：艹infj的meme怎么能这么好笑,[]
1分钟前来自iPhon,e11,鹿城野鹤,（稳定的）mbti能反映出一个人部分的思维和行为模式，但不能直接给一个人的性格下定义…人的个性过于复杂，包括“做测试时的自己”，也只是个性的一小部分罢了…想光靠mbti来了解一个人，是不是太图省事了//@十五纵横:p.s.做这些测试的时候应该是从了解的真实自己出发，而不是“想成为的那个自己”。,[]
1分钟前来自Andro,id,咔咔咔的咔咔啦,刷到有人骂esfj人忍不住怼了一句在网上把你讨厌的人等同于一个群体发泄愤怒只知道回复我不管我身边这个mbti就是这种人想起校园中一些和别人争论观点自己缺少论据没法以理服人就因为身边有两三个人也是这个观点就理直气壮的nt,[]
